stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct,trade_profit
WIPRO,2019-12-23,2020-05-04,253.9,190.3,88,-25.049231981094916,-50098.46396218983
WIPRO,2022-08-03,2022-11-14,433.0,396.5,67,-8.429561200923787,-16859.122401847577
CANFINHOME,2022-11-14,2023-06-08,535.95,739.8,141,38.03526448362719,76070.52896725439
CANFINHOME,2023-04-10,2023-06-08,581.2,739.8,41,27.288368891947677,54576.737783895354
CANFINHOME,2023-05-05,2023-06-08,641.55,739.8,24,15.314472761281273,30628.945522562546
ZYDUSLIFE,2022-04-08,2022-11-09,369.4,447.55,144,21.15592853275583,42311.85706551166
ZYDUSLIFE,2022-07-11,2022-11-09,370.75,447.55,81,20.714767363452463,41429.53472690492
INDIACEM,2021-12-27,2022-07-11,189.65,171.25,134,-9.702082784075932,-19404.165568151864
AUBANK,2022-01-13,2022-05-24,651.25,661.5,87,1.5738963531669865,3147.792706333973
NTPC,2021-09-27,2022-01-05,127.6,131.8,69,3.2915360501567537,6583.072100313507
NTPC,2023-03-10,2023-06-09,180.7,182.75,60,1.1344770337576158,2268.9540675152316
VEDL,2019-11-01,2020-05-04,153.7,80.15,123,-47.85296031229667,-95705.92062459335
VEDL,2021-04-30,2021-09-24,255.95,292.6,101,14.319202969329961,28638.405938659922
VEDL,2022-03-23,2022-09-01,407.85,263.7,110,-35.34387642515631,-70687.75285031262
VEDL,2022-03-24,2022-09-01,410.45,263.7,109,-35.753441344865394,-71506.88268973079
VEDL,2022-09-15,2022-10-28,313.45,285.0,29,-9.076407720529586,-18152.815441059174
CUMMINSIND,2022-05-26,2022-07-19,1022.0,1155.0,38,13.013698630136986,26027.39726027397
BALKRISIND,2023-02-03,2023-07-27,2284.0,2477.55,117,8.474168126094579,16948.336252189158
BALKRISIND,2023-02-06,2023-07-27,2299.8,2477.55,116,7.728932950691364,15457.865901382727
LALPATHLAB,2021-07-29,2021-11-30,3751.2,3797.0,83,1.220942631691197,2441.8852633823944
ONGC,2021-08-30,2021-11-16,120.1,157.55,53,31.18234804329727,62364.69608659454
