stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
HDFCLIFE,2018-07-19,2018-07-20,471.6,491.15,424.0,8289.199999999953,0.04145462256149269
ULTRACEMCO,2018-07-19,2018-07-20,3848.55,3885.0,51.0,1858.9499999999825,0.009471099505008332
BOSCHLTD,2018-07-16,2018-07-23,17340.0,18142.0,11.0,8822.0,0.046251441753171856
TITAN,2018-07-23,2018-07-24,858.75,864.0,232.0,1218.0,0.00611353711790393
BANKBARODA,2018-07-24,2018-07-26,133.4,138.75,1499.0,8019.649999999994,0.040104947526236834
WIPRO,2018-07-20,2018-07-26,211.16,203.25,947.0,-7490.7699999999895,-0.0374597461640462
MANAPPURAM,2018-07-16,2018-07-26,99.7,104.6,2006.0,9829.399999999965,0.04914744232698086
COALINDIA,2018-07-26,2018-07-27,264.3,262.85,756.0,-1096.2000000000116,-0.0054861899356791095
RAMCOCEM,2018-07-26,2018-07-27,720.25,715.0,277.0,-1454.25,-0.007289135716765012
LT,2018-07-26,2018-07-27,1311.0,1310.3,152.0,-106.39999999999418,-0.0005339435545385549
DELTACORP,2018-07-16,2018-07-30,214.0,249.65,934.0,33297.100000000006,0.166588785046729
ADANIPORTS,2018-07-27,2018-07-30,395.0,389.15,506.0,-2960.100000000006,-0.014810126582278538
DEEPAKNTR,2018-07-27,2018-08-01,237.9,241.85,840.0,3318.0,0.016603614964270652
GRASIM,2018-07-30,2018-08-01,1019.99,1025.92,196.0,1162.2799999999988,0.005813782488063671
PIIND,2018-08-01,2018-08-02,809.95,825.0,246.0,3702.2999999999884,0.01858139391320446
DIXON,2018-08-02,2018-08-03,532.0,563.0,375.0,11625.0,0.05827067669172932
OBEROIRLTY,2018-08-03,2018-08-06,485.0,480.3,412.0,-1936.3999999999942,-0.009690721649484512
HINDCOPPER,2018-08-06,2018-08-07,63.8,63.15,3134.0,-2037.0999999999767,-0.01018808777429465
MOTHERSON,2018-08-07,2018-08-08,135.11,135.44,1480.0,488.3999999999651,0.0024424542964990308
