stock,Monday,Tuesday,Wednesday,Thursday,Friday
CHAMBLFERT,-104.46739232773905,43.94420314996273,98.10624439910033,84.46913819760935,-22.6766008894529
CHOLAFIN,-140.07071908454893,77.65723315012897,97.55476088748772,102.27880043923376,24.49595499306676
CIPLA,-89.3567997604921,51.85381877282831,14.775213697181089,-0.5244113303446656,45.002540133377735
COALINDIA,-81.90463543370109,57.175741786157296,11.88649022151155,-21.874499240707088,12.80613512796467
COFORGE,-74.19831046084417,133.5115580380162,131.25382858180922,51.78122790362273,17.052328396544105
COLPAL,-11.78219228430335,16.93737736342824,19.430232649719457,17.09062204129236,36.872400852997565
CONCOR,-144.70137053119117,48.4244430159675,49.25774416113795,45.33047295153192,37.479902283848986
COROMANDEL,-90.23382535377554,-10.832343448527503,68.54368532913476,77.22734417844242,6.549282824845954
CROMPTON,-128.62501559084936,-7.024766039766533,49.14990721038293,49.63489316360904,13.87708314091417
CUB,-63.58512614600791,59.51787415318731,8.222760192083324,35.905632279327236,-7.010405625942798
CUMMINSIND,-57.49757394045462,38.424731304496895,78.13879329125614,21.27357842709756,-38.52542411994366
DABUR,-118.19414327049041,55.92171731181516,16.05490979143638,30.932356397591413,7.270715180668352
DALBHARAT,-31.51021423912369,885.6747779394566,32.8393227215792,44.732765356629145,-15.382652564809769
DEEPAKNTR,-25.053606789057813,161.6475598295998,38.03981181412743,101.98090033554182,-2.6007302886858428
DELTACORP,-84.70255775191563,81.50618302777981,-20.58238715378383,24.22966039248624,45.89579558521072
DIVISLAB,141.19865616104647,82.63353005804996,10.898061885626166,71.10801320031152,39.074909026369774
DIXON,-88.02507371472976,124.52718084653317,48.582813459787054,109.8900347653173,22.585395961836014
DLF,-167.56920498087717,139.08911813303075,38.24093866956099,105.68197322572563,9.262986531227657
DRREDDY,1834.062234256328,95.02893569634448,18.716565054221203,20.308144748513847,7.482808462587187
EICHERMOT,75.82537968983664,88.51450049092946,10.446455477406477,19.117322608643672,23.226829156171345
ESCORTS,-90.52604470775779,131.2965229638192,10.250250798889738,20.429961917130587,37.0572345613899
EXIDEIND,-99.36290970637073,66.13583595920005,-4.257046072648684,23.801902944556463,20.04744521927815
FEDERALBNK,-123.4675166630026,78.39311454449822,-9.132040703540833,6.995076742072274,45.812418795242856
GAIL,614.2926400760716,105.01391149727894,-30.515065144566968,10.631712467209988,24.94318034404818
GLENMARK,-113.90541133560785,24.482559425610997,39.22134011582479,72.05654343710142,-24.98136487031736
GMRINFRA,-96.69027125939795,40.973759795525794,63.78908130102684,67.79401837416648,34.76272659458438
GNFC,52.00430327054164,97.97862649022392,25.252740279235788,72.50891371203159,-54.32612885698396
GODREJCP,145.74851008926734,44.76225443937499,100.40281357406003,26.40057509832421,-27.718492025414676
GODREJPROP,-72.048148413866,49.45556226261585,65.7505229974516,102.03061562595319,-19.620071558848803
GRANULES,-86.62166177550752,23.018714065783993,153.5504704294913,-44.546911763159734,20.147520684915882
GRASIM,-73.0537731560704,59.383166831454496,9.434033161855858,3.638038433262982,39.81705554026489
GUJGASLTD,-35.87719061516336,86.4853730759801,-9.968694579741934,37.98286633086468,2.751499507251167
HAL,19.491562988597735,75.99123605328279,-67.68989989477542,129.5028415033794,5.167004111983669
HAVELLS,-50.56372980374684,79.91258225910819,54.486335110118276,56.22451631104679,-40.75876490486743
HCLTECH,-52.917830537437,82.8953715602402,17.952480013114226,13.286879428927422,9.635024571586069
HDFCAMC,-152.83807709486388,82.74931760626738,17.99532856181816,14.929731765832665,53.572732742487695
HDFCBANK,-133.86037409044943,65.67069575795024,20.254062642727288,-2.922736918518309,40.57594192458238
HDFCLIFE,-86.47289206309591,119.11994415642417,32.2519028030498,45.587263823703914,-110.46004123983325
HEROMOTOCO,-51.43565586846836,66.215533941012,-11.57562699473833,68.77465953571576,-5.787904402911492
HINDALCO,-65.88665527044809,93.71752505616077,48.92612860109226,49.0362257680197,-39.0419127176054
