stock,2017,2018,2019,2020,2021,2022,2023,2024
BOSCHLTD,-14.536170212765958,-0.7070707070707071,-21.595485862654105,-16.313548218029354,33.512582771252816,-0.0700636942675075,29.512777228010943,4.0715883668903805
BPCL,19.606166362354678,-28.725701943844495,33.36499321573948,-22.312703583061882,0.7843137254901961,-14.448177823727058,35.191846522781766,1.5070921985815628
BRITANNIA,27.57729729729729,31.506849315068493,-2.2222222222222223,17.597682609697486,1.1474951021550517,19.502074688796682,24.13248111563045,-3.239140237486841
BSOFT,41.24116260801258,17.31287022078622,-67.34223859972363,245.27641707487754,119.1643230212937,-47.6274165202109,142.38343713179597,11.843416370106768
CANBK,8.854638863705052,-23.93351800554016,-21.68141592920354,-41.7624521072797,49.327354260089685,61.63552535792283,30.219043361645053,5.047068163774526
CANFINHOME,-26.622063170997357,-39.43366544310435,36.933797909407666,26.329113924050635,11.55394524959743,-6.753224119902406,42.18864468864469,-1.2797427652733178
CHAMBLFERT,27.551867219917003,-6.050047513462137,3.741496598639456,48.10581319399086,72.79508556384378,-22.422197225346828,19.167596874501662,0.8699090549624237
CHOLAFIN,16.962230946256927,-4.1884816753926675,21.927374301675982,27.764938923737216,25.51574375678612,35.12758428012666,71.42467806772501,2.037489812550937
CIPLA,9.864253393665159,-15.78776569852344,-8.57962697274032,71.987825356843,14.112172126193641,15.588945532599945,16.333178222429037,4.776000000000004
COALINDIA,5.516549648946841,-9.795841917962157,-12.623966942148765,-36.05860113421549,7.9335793357933575,44.86973303312963,67.23716381418093,-0.03926701570680033
COFORGE,14.539007092198581,74.80974124809741,37.995652173913044,70.88607594936708,114.86090775988286,-34.944543798225055,59.509910915966614,6.530641917270458
COLPAL,-2.492927864214997,22.51190206302426,10.045317220543806,6.978810663021183,-6.084806997528047,4.95228357191548,65.89954038082732,-1.4478182183792478
CONCOR,20.130208333333318,0.2881844380403533,4.078851744186055,-30.497382198952877,52.19814241486068,19.45832661615348,15.803318494536638,4.069767441860465
COROMANDEL,35.1981351981352,-19.448670903069896,17.422566371681416,53.768939393939384,-7.327850742604645,17.506947201270336,39.8859443139886,-5.0728135811408945
CROMPTON,20.53649956024627,-15.388878625531122,2.1367521367521367,56.83037556747833,16.057909416921234,-23.63553840916827,-10.039113428943931,3.6682615629984054
CUB,8.84525790349417,19.577308120133484,21.380558428128225,-22.689255843877334,-25.200998059329077,29.479768786127153,-16.685330347144447,-2.102496714848876
CUMMINSIND,-0.87527352297593,-7.633587786259542,-35.147058823529406,3.9347234814143333,61.90189328743545,45.94164456233422,41.98159177043855,4.902564102564098
DABUR,18.039149510631113,22.87469638519789,8.530805687203792,16.122004357298476,8.540925266903919,-3.580321112732896,-1.1103215491206253,-1.3895114298520843
DALBHARAT,,,-5.813953488372093,34.91567770143661,68.79082728061762,-1.4605699138502295,20.890774125132555,-2.488745434468696
DEEPAKNTR,38.328358208955216,-3.986928104575166,66.08734402852049,150.66401062416998,149.17409150065072,-21.484992101105846,24.497991967871485,-1.3358236225587758
DELTACORP,99.93498049414823,-17.75792038992689,-21.24826078314451,-17.505133470225882,60.32188177034973,-17.325581395348834,-32.298424467099174,0.46235138705415363
DIVISLAB,64.43368107302531,35.115165336374005,24.451591062965477,110.9834533560552,21.542079754680937,-26.349752634975264,15.970326409495545,-0.3482714468629938
DIXON,44.94002481731697,-50.95116782933739,86.73218673218673,254.35356200527704,102.24351913049863,-29.379858976676914,68.43998971986636,1.664933976756097
DLF,33.71046541527385,-31.2984496124031,27.802441731409562,2.110817941952499,65.36430834213304,-5.069708491761723,90.6768501448512,10.851800554016624
DRREDDY,-9.757784173737532,8.679401993355482,10.028757668711663,80.72270363951475,-6.255493980508319,-12.795749850709399,37.04031639218464,-2.1152192605331037
EICHERMOT,9.45185719437432,-22.907754010695193,-3.322831247302537,14.350384789497511,1.4930052118029666,18.816589861751158,27.87818767021541,-4.078066914498145
ESCORTS,15.726784795235652,-8.824289405684748,-12.736339081653862,110.13988908202963,47.81916957702756,11.579885223133568,39.39393939393939,-2.853040540540534
EXIDEIND,-0.2232142857142857,22.38942088463291,-30.121836925960636,2.960172228202368,-11.73081958627912,6.443071491615192,74.82093663911846,5.096633416458842
FEDERALBNK,-3.4207019102621006,-14.312011044638759,-5.891805034815212,-24.87338210467079,22.058823529411764,59.885386819484246,13.369565217391296,-3.067092651757196
GAIL,36.16557734204793,-4.225690276110445,-33.101218602337724,1.984373062135692,4.827921683084031,9.84805209642409,67.63185108583247,-2.697841726618705
GLENMARK,-6.9776527582434715,16.152297886615223,-49.83736899168775,42.664735698769015,4.980614375186403,-18.969957081545065,99.5549830190889,1.94835680751174
GMRINFRA,15.601023017902815,-26.067415730337085,28.04878048780489,27.16346153846153,72.04502814258913,-15.644820295983083,97.79141104294477,5.486284289276798
GNFC,72.29316074864438,-30.122950819672127,-53.12320916905444,38.13193588162764,94.94904740806382,25.281151596941065,33.76022767698327,-4.006541291905154
