stock,year,Q1,Q2,Q3,Q4
ALKEM,2024,-1.4413780980840252,,,
AMBUJACEM,2017,,,8.080808080808081,1.7632714312511681
AMBUJACEM,2018,-13.123844731977819,-13.531490334649765,12.471769134253448,1.580135440180587
AMBUJACEM,2019,5.493273542600897,-9.230441270518016,-4.380416959475284,-1.381562421502135
AMBUJACEM,2020,-20.944402132520946,22.503160556257917,12.773152965660778,12.440731542108834
AMBUJACEM,2021,23.112173739788805,9.591245574509177,17.690273288275048,-6.228287841191073
AMBUJACEM,2022,-22.674418604651162,19.065573770491795,40.35374149659863,7.29508196721312
AMBUJACEM,2023,-30.52681537731372,13.760000000000005,-2.6038082128928575,20.44032444959445
AMBUJACEM,2024,0.59411542814032,,,
APOLLOHOSP,2017,,,-21.916158358910607,13.894139886578449
