stock,year,Monday,Tuesday,Wednesday,Thursday,Friday
MPHASIS,2022,-44.272197962154294,-42.62150220913107,-41.51341573711185,-40.798345081213604,-38.916408668730654
MPHASIS,2023,35.90655154900965,35.80986618733773,36.48425787106448,35.50148957298907,38.59493670886076
MPHASIS,2024,-5.630712979890311,-4.7652809911187495,-0.038880248833592534,-1.5277538767471586,1.674895556399541
MRF,2017,-3.065532273941772,5.199343841380786,3.1510527059488487,4.708085553766788,3.7631631803965457
MRF,2018,-7.5720904501763355,-4.443858909499719,-5.694105459326001,-5.874086565486228,-7.887517146776406
MRF,2019,-1.2238805970149254,-0.8996871304321792,-3.823088455772114,-5.74932835820896,-0.23925781250000003
MRF,2020,15.705747126436782,16.034403317462758,14.647015739675043,12.1513353115727,16.631719877343514
MRF,2021,-10.178006210542359,-9.113892049045633,-7.5252580645984155,-6.556212558386282,-4.131578947368421
MRF,2022,18.938463423933758,18.849378042184963,18.64476711035295,18.532506069598057,19.565446533180356
MRF,2023,35.43640388217265,35.217349696014416,36.26605013346723,38.69726177437021,39.480696001121885
MRF,2024,1.729006304877577,1.535932503756215,1.1874190309004913,0.9946936279183207,1.121523999538073
MUTHOOTFIN,2017,-3.354895296568361,2.9460811561978875,4.556514045565133,5.762977912322007,5.915178571428571
MUTHOOTFIN,2018,10.56563500533618,5.262011112321612,8.736059479553901,6.54337010599178,7.236981934112649
MUTHOOTFIN,2019,49.49317738791423,48.734239077314044,42.50000000000001,51.31380247659318,51.66483351664832
MUTHOOTFIN,2020,60.91764860772827,60.43328017012227,58.225278323510146,57.05920624593364,56.81626290835876
MUTHOOTFIN,2021,19.10013233348038,15.543861006849042,16.649726348709933,15.551374024853965,23.14662273476112
MUTHOOTFIN,2022,-31.12012987012987,-30.29661016949153,-29.806939733889905,-30.71381794368042,-30.39260667234712
MUTHOOTFIN,2023,34.878617473597565,33.97235023041474,35.80473481372729,38.261590930039624,37.58247929243296
