stock,Q1,Q2,Q3,Q4
SBIN,-36.67740029553962,31.794296138337064,-91.12099601655281,125.25021230322194
SHREECEM,5.689116117877044,4.845906460747807,1523.131742446883,44.92871441761441
SHRIRAMFIN,-8.214774691867403,36.540910667142334,-103.69933806449617,131.98700508015776
SIEMENS,6.833678197229743,33.090848612333865,79.60863312796909,64.74560821802262
SRF,13.969783405668544,51.85010499989995,-29.32950097599986,109.29271268343594
SUNPHARMA,-3.392460192237676,39.59483883951706,-1.9136513872358596,25.112469143656703
SUNTV,-63.06342556670067,14.100712564981066,-31.884703628007955,39.72689759448209
SYNGENE,-24.336287003961132,98.22439452494324,-20.09994784285341,16.3217669468113
TATACHEM,-38.94972587246697,26.705768336510747,33.24823874692905,69.27692541340492
TATACOMM,-59.6602857645005,98.78021536625397,-43.15313249200465,51.320063985255814
TATACONSUM,-15.046898270851411,93.11897657903263,-18.616750471257287,83.53185497330884
TATAMOTORS,-51.402681247888076,62.80687265286808,-31.09250274582537,129.25850004784778
TATAPOWER,-27.951751734497723,45.23584326187235,-42.85630836522225,126.12729259057943
TATASTEEL,-21.18559274600776,27.69373816261372,-51.23876523986068,98.94406110783896
TCS,10.465192098461273,49.70409432501247,35.9426605032892,32.22010170671362
TECHM,4.888095742748879,-32.600909784810966,11.447610622863277,69.81880477479284
TITAN,10.410565718545449,22.320752955902066,-13.630370035943145,111.33868013251059
TORNTPHARM,-10.339387172027669,50.3847643313982,78.8337649530827,62.19215748642214
TRENT,43.43166277206232,62.28289793379025,37.78307619415041,75.98491667540172
TVSMOTOR,-54.99548091933542,69.13664060770614,310.79209180249774,84.86599194424792
UBL,-53.36980360643342,51.170839083788294,74.67930776594025,63.63083214707803
ULTRACEMCO,-10.11790891407028,25.335433666831385,1892.6846808214998,70.4800806450839
UPL,4.948870062077073,15.44359652553605,-85.14454853038258,16.19590440174152
VEDL,-47.086986401855384,-3.9843797640809613,-47.55270849941513,67.18347088521759
VOLTAS,14.256902240542326,-22.68459854743472,-17.734522736717956,50.977991845982515
WIPRO,-42.53456052855096,16.45179836353421,16.105171674742635,67.83269976951476
ZEEL,-100.14231262067337,-26.53020544782909,370.6315705745217,53.24068830040052
ZYDUSLIFE,-25.708460348128416,57.62790260414471,-25.016289981620524,20.853798742185937
