stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
IDFCFIRSTB,2017-10-09,2017-10-31,59.65,56.6,14,-5.113160100586751
MOTHERSON,2017-10-11,2017-11-21,156.29,156.49,27,0.12796724038647198
BHARTIARTL,2017-10-11,2017-11-21,372.78,462.67,27,24.113418101829513
TATACOMM,2017-10-11,2017-12-04,671.0,670.0,36,-0.14903129657228018
BRITANNIA,2017-10-12,2017-12-28,2285.05,2330.5,52,1.9890155576464328
POWERGRID,2017-10-13,2017-11-22,115.74,116.73,26,0.8553654743390436
AXISBANK,2017-10-16,2017-10-18,518.9,464.5,2,-10.483715552129501
ASTRAL,2017-10-17,2018-01-30,334.8,351.9,71,5.10752688172042
WIPRO,2017-10-18,2017-11-24,221.06,220.24,25,-0.3709400162851683
RAMCOCEM,2017-10-23,2017-12-07,699.55,692.0,33,-1.0792652419412414
PIDILITIND,2017-10-23,2017-10-30,802.05,787.0,5,-1.8764416183529649
HINDUNILVR,2017-10-23,2017-12-01,1249.95,1245.3,29,-0.3720148805952311
BHEL,2017-10-23,2017-11-20,86.75,87.2,20,0.5187319884726258
AMBUJACEM,2017-10-23,2017-11-20,281.8,264.8,20,-6.032647267565649
ABCAPITAL,2017-10-30,2017-12-06,178.7,186.6,27,4.420817011751542
CONCOR,2017-11-20,2017-12-01,544.82,511.16,9,-6.178187291215451
ABFRL,2017-11-20,2018-01-25,155.25,167.95,47,8.180354267310781
GAIL,2017-11-20,2018-01-15,115.62,122.66,39,6.088911952949309
ICICIPRULI,2017-11-21,2017-12-11,398.0,372.9,14,-6.306532663316588
APOLLOTYRE,2017-11-21,2018-01-25,246.7,261.1,46,5.837049047426038
MFSL,2017-11-21,2018-01-16,575.5,559.0,39,-2.8670721112076456
NTPC,2017-11-21,2017-12-15,151.88,147.54,18,-2.857519094021598
SBILIFE,2017-11-21,2018-01-30,688.5,667.95,48,-2.984749455337684
ICICIGI,2017-11-21,2018-03-05,695.0,780.0,70,12.23021582733813
LAURUSLABS,2017-11-23,2018-02-01,106.6,103.2,48,-3.1894934333958647
NMDC,2017-11-23,2018-01-25,127.0,143.8,44,13.228346456692922
INDHOTEL,2017-11-23,2017-12-28,118.0,117.35,24,-0.5508474576271235
HAVELLS,2017-11-23,2018-02-05,510.3,499.95,50,-2.028218694885366
M&MFIN,2017-11-23,2018-02-05,267.26,266.59,50,-0.2506922098331273
RBLBANK,2017-11-24,2017-12-18,512.4,508.0,16,-0.8587041373926576
MOTHERSON,2017-11-27,2018-01-30,160.0,161.47,44,0.9187499999999993
IBULHSGFIN,2017-11-28,2018-02-16,1200.6,1269.0,55,5.697151424287864
PEL,2017-11-28,2018-02-02,2676.42,2576.92,46,-3.7176526853035026
UPL,2017-11-30,2018-02-07,484.67,468.53,47,-3.3301008933913883
LICHSGFIN,2017-11-30,2017-12-06,583.0,552.6,4,-5.2144082332761545
BALRAMCHIN,2017-11-30,2017-12-13,160.0,145.15,9,-9.281249999999996
BERGEPAINT,2017-11-30,2018-01-18,216.08,210.29,34,-2.6795631247686136
TATASTEEL,2017-12-01,2018-02-21,58.79,64.41,55,9.559448885864938
MARICO,2017-12-01,2018-01-25,311.0,308.95,38,-0.6591639871382673
CUB,2017-12-01,2018-01-16,156.41,158.64,31,1.4257400421967839
CUMMINSIND,2017-12-01,2018-01-24,844.9,908.1,37,7.480175168659018
IDFC,2017-12-01,2017-12-14,61.0,57.25,9,-6.147540983606557
EICHERMOT,2017-12-01,2017-12-05,2940.0,2888.55,2,-1.749999999999994
INFY,2017-12-04,2018-02-14,492.2,545.5,49,10.828931328728162
BAJFINANCE,2017-12-04,2017-12-06,1676.6,1674.95,2,-0.09841345580340355
FEDERALBNK,2017-12-05,2017-12-12,108.5,106.75,5,-1.6129032258064515
NAVINFLUOR,2017-12-05,2018-02-02,698.0,784.0,41,12.320916905444127
CHOLAFIN,2017-12-05,2018-05-14,260.41,316.58,107,21.569832187703987
MGL,2017-12-07,2017-12-28,1143.0,1087.0,14,-4.899387576552931
SUNTV,2017-12-07,2018-02-02,855.8,956.05,39,11.714185557373218
PIDILITIND,2017-12-07,2018-01-25,857.55,877.0,34,2.268089324237659
ASIANPAINT,2017-12-07,2017-12-12,1143.0,1118.15,3,-2.174103237095355
HINDUNILVR,2017-12-08,2018-02-06,1318.0,1327.85,40,0.7473444613050007
INDIGO,2017-12-08,2018-03-19,1183.5,1215.15,67,2.674271229404317
HINDPETRO,2017-12-08,2018-01-04,428.0,416.0,18,-2.803738317757009
ABB,2017-12-08,2018-02-16,1345.35,1512.05,47,12.390827665663215
INTELLECT,2017-12-08,2018-01-30,142.25,160.85,35,13.075571177504388
ITC,2017-12-08,2018-02-15,262.6,268.0,46,2.0563594821020477
IOC,2017-12-08,2017-12-29,135.17,129.6,14,-4.120736849892722
DIVISLAB,2017-12-08,2018-02-02,1058.2,1020.0,38,-3.609903609903614
COLPAL,2017-12-11,2018-02-08,1077.2,1100.9,41,2.2001485332343154
TATACOMM,2017-12-11,2018-01-01,720.75,678.5,14,-5.861949358307319
ADANIPORTS,2017-12-12,2018-02-07,401.05,404.55,39,0.8727091385114075
SIEMENS,2017-12-12,2018-02-07,1161.9,1213.0,39,4.397968844134599
IEX,2017-12-12,2018-02-06,53.8,51.2,38,-4.83271375464683
BPCL,2017-12-13,2018-01-04,507.35,491.5,15,-3.1240760816004776
TITAN,2017-12-13,2018-01-30,821.6,881.0,32,7.229795520934758
ULTRACEMCO,2017-12-13,2018-02-02,4273.0,4139.0,35,-3.135970044465247
SHREECEM,2017-12-13,2018-01-29,17681.0,17750.0,31,0.39024942028165827
KOTAKBANK,2017-12-13,2018-01-05,1015.0,1003.0,16,-1.1822660098522169
COALINDIA,2017-12-15,2018-03-13,271.2,295.2,58,8.849557522123893
MRF,2017-12-15,2018-01-15,67588.0,71350.2,20,5.56637272888678
SRF,2017-12-15,2018-01-29,373.0,367.0,29,-1.6085790884718498
CIPLA,2017-12-15,2018-02-02,575.2,579.0,33,0.6606397774686985
M&M,2017-12-15,2018-02-20,741.5,709.0,44,-4.3830074173971685
HEROMOTOCO,2017-12-18,2018-01-15,3540.0,3620.05,19,2.2612994350282536
HDFCBANK,2017-12-18,2018-02-09,939.2,926.0,37,-1.4054514480408906
CANFINHOME,2017-12-18,2018-01-11,473.5,485.3,17,2.4920802534318924
GUJGASLTD,2017-12-18,2017-12-20,167.3,166.4,2,-0.5379557680812944
LT,2017-12-18,2018-02-16,1216.1,1330.0,41,9.36600608502591
ACC,2017-12-18,2018-01-25,1699.3,1733.8,27,2.030247749073148
TCS,2017-12-18,2018-02-14,1288.3,1450.0,39,12.551424357680668
POWERGRID,2017-12-18,2018-01-10,112.64,112.75,16,0.09765624999999949
WIPRO,2017-12-18,2018-01-31,220.65,228.79,30,3.6891003852254642
CHAMBLFERT,2017-12-19,2018-05-11,148.05,176.3,96,19.081391421816953
ATUL,2017-12-19,2018-01-31,2645.0,2722.35,29,2.924385633270318
BHARATFORG,2017-12-19,2018-02-02,728.0,682.3,31,-6.2774725274725345
ICICIPRULI,2017-12-19,2018-02-22,393.85,401.2,44,1.8661927129617788
EICHERMOT,2017-12-19,2018-01-09,3086.91,2860.0,14,-7.350716412205081
EXIDEIND,2017-12-19,2018-02-05,215.5,204.9,32,-4.918793503480276
COFORGE,2017-12-20,2018-02-16,643.5,817.0,39,26.961926961926963
ZEEL,2017-12-21,2018-02-06,574.0,572.0,31,-0.34843205574912894
IDFCFIRSTB,2017-12-21,2018-01-31,55.15,56.75,27,2.9011786038077996
ONGC,2017-12-22,2018-02-14,193.5,184.55,35,-4.625322997416015
GRANULES,2017-12-22,2018-02-01,132.2,126.9,27,-4.009077155824495
PERSISTENT,2017-12-26,2018-03-19,691.0,800.3,56,15.817655571635306
GUJGASLTD,2017-12-28,2018-02-02,167.1,169.1,25,1.196888090963495
GRASIM,2017-12-29,2018-01-30,1160.54,1152.97,21,-0.6522825581194905
JUBLFOOD,2017-12-29,2018-02-12,174.83,201.79,30,15.420694388834855
AXISBANK,2017-12-29,2018-02-12,562.05,562.6,30,0.09785606262789222
LALPATHLAB,2017-12-29,2018-02-06,882.0,863.0,26,-2.1541950113378685
TRENT,2017-12-29,2018-01-25,337.0,324.8,19,-3.6201780415430234
BHEL,2018-01-01,2018-02-02,95.55,93.25,23,-2.4071166928309755
MGL,2018-01-01,2018-01-18,1119.95,1048.0,13,-6.424393946158315
TATACHEM,2018-01-02,2018-01-25,737.55,717.85,17,-2.671005355569105
UBL,2018-01-03,2018-02-16,1090.0,1012.0,30,-7.155963302752294
INDHOTEL,2018-01-03,2018-02-14,121.5,135.7,28,11.6872427983539
HDFCLIFE,2018-01-04,2018-02-06,399.25,438.8,22,9.906073888541018
ASIANPAINT,2018-01-04,2018-01-30,1175.3,1128.0,17,-4.024504381859947
RBLBANK,2018-01-05,2018-01-25,540.1,511.65,14,-5.267543047583789
TORNTPHARM,2018-01-05,2018-02-05,708.03,669.0,20,-5.512478284818436
BHARTIARTL,2018-01-05,2018-01-15,495.72,464.87,6,-6.223271201484713
MCX,2018-01-08,2018-01-16,951.95,877.1,6,-7.862807920584067
NESTLEIND,2018-01-09,2018-01-19,779.5,767.2,8,-1.5779345734445098
ABBOTINDIA,2018-01-11,2018-03-16,5400.0,5515.0,43,2.1296296296296298
INDUSINDBK,2018-01-11,2018-02-19,1700.7,1637.0,25,-3.745516552007999
INDUSTOWER,2018-01-12,2018-01-18,374.9,344.15,4,-8.202187249933315
AMBUJACEM,2018-01-15,2018-01-24,277.05,260.9,7,-5.829272694459496
MPHASIS,2018-01-16,2018-03-07,749.0,841.1,33,12.296395193591458
BRITANNIA,2018-01-16,2018-03-21,2345.0,2415.0,43,2.9850746268656714
BAJFINANCE,2018-01-16,2018-01-25,1692.0,1714.0,7,1.3002364066193852
RECLTD,2018-01-16,2018-02-01,115.73,114.83,11,-0.7776721679771932
JKCEMENT,2018-01-16,2018-02-06,1142.45,1048.1,14,-8.258567114534564
HCLTECH,2018-01-16,2018-02-14,474.65,467.0,19,-1.6117138944485365
HINDPETRO,2018-01-16,2018-01-25,411.0,383.6,7,-6.666666666666661
ICICIBANK,2018-01-16,2018-02-09,333.55,327.5,17,-1.8138210163393829
TATAMOTORS,2018-01-17,2018-01-22,423.25,422.2,3,-0.24808033077377703
PNB,2018-01-17,2018-02-07,176.3,155.95,14,-11.5428247305729
CUB,2018-01-18,2018-01-29,160.91,150.91,6,-6.214654154496302
GODREJCP,2018-01-18,2018-02-12,688.67,678.73,16,-1.4433618423918482
PVRINOX,2018-01-18,2018-02-02,1454.05,1319.5,10,-9.253464461332138
DRREDDY,2018-01-18,2018-01-31,2452.0,2224.0,8,-9.29853181076672
SHRIRAMFIN,2018-01-18,2018-01-30,1459.0,1374.0,7,-5.825908156271418
PFC,2018-01-18,2018-01-29,95.32,93.96,6,-1.426772975241292
ZYDUSLIFE,2018-01-19,2018-01-29,441.2,418.9,5,-5.054397098821399
BIOCON,2018-01-19,2018-02-20,284.4,285.75,20,0.47468354430380544
KOTAKBANK,2018-01-22,2018-02-21,1073.0,1054.05,20,-1.7660764212488393
RELIANCE,2018-01-22,2018-02-12,960.89,903.44,14,-5.978832124384678
VEDL,2018-01-23,2018-02-14,343.95,312.65,14,-9.100159906963224
SBIN,2018-01-23,2018-02-14,318.95,275.5,14,-13.622824894184038
