stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
HDFCBANK,2021-11-08,2021-11-22,1600.0,1520.75,9,-4.953125
HDFCBANK,2022-09-30,2022-10-07,1422.05,1431.0,4,0.629373088147396
ADANIENT,2023-02-28,2023-08-23,1369.05,2540.0,118,85.53011212154415
HEROMOTOCO,2021-12-02,2022-02-04,2481.0,2719.0,45,9.592906086255542
CANBK,2022-03-08,2022-05-09,208.85,200.55,40,-3.974144122576003
BERGEPAINT,2022-05-27,2022-08-22,480.58,556.58,59,15.814224478754852
BERGEPAINT,2022-10-07,2023-03-17,522.17,493.33,111,-5.523105502039561
BERGEPAINT,2023-02-03,2023-03-17,465.71,493.33,29,5.930729423890405
EXIDEIND,2020-10-22,2020-10-26,160.55,158.85,2,-1.0588601681719196
EXIDEIND,2022-05-09,2022-08-22,148.65,154.25,73,3.767238479650181
MCX,2021-08-26,2021-11-30,1497.5,1601.0,64,6.9115191986644415
CIPLA,2022-05-11,2022-05-19,938.0,936.2,6,-0.1918976545842169
CIPLA,2023-02-10,2023-06-27,1033.0,1011.0,91,-2.1297192642787994
ACC,2020-03-13,2020-08-31,1180.0,1318.0,115,11.694915254237289
ACC,2023-02-28,2023-08-07,1730.0,2026.05,107,17.11271676300578
BAJAJ-AUTO,2021-12-15,2022-04-19,3303.0,3635.5,84,10.066606115652437
ITC,2020-10-22,2020-11-18,168.85,184.6,19,9.327805744743856
ITC,2021-07-07,2021-07-09,203.95,201.45,2,-1.225790634959549
SAIL,2020-03-13,2020-09-21,29.7,35.25,130,18.686868686868692
SAIL,2021-11-23,2021-12-16,111.25,113.7,17,2.2022471910112387
SAIL,2022-07-05,2022-11-10,69.4,83.9,86,20.89337175792507
TATACOMM,2022-09-30,2023-03-16,1155.2,1176.45,114,1.8395083102493073
TATAPOWER,2023-02-15,2023-05-31,205.25,213.5,69,4.019488428745433
TATACONSUM,2021-11-30,2021-12-14,781.0,739.9,10,-5.262483994878364
